id,fecha,provincia,zona_prov,genero,edad,maximo_estudio,espacio_identificado,posibilidad_votar,opinion_gestion_alberto,opinion_gestion_kicillof,opinion_tolosapaz,opinion_manes,opinion_santilli,posibilidad_voto_tolosapaz,posibilidad_voto_santilli,posibilidad_voto_manes,intencion_voto_2021,intencion_voto_2021_otros,voto_emitido_2019,analisis_temporal,peso
6363,6/9/2021 12:23,Buenos Aires,Zona Norte conurbano,Hombre,53,Superior,NINGUNO,SEGURAMENTE iré a votar,-2,-2,-2.0,1.0,1.0,-1.0,0.0,0.0,Juntos: Facundo Manes,,Frente de Todos: Alberto Fernández,sem_2_(09/04-09/10),1
6364,6/9/2021 12:22,Buenos Aires,Zona Norte conurbano,Mujer,32,Secundario,Los libertarios,SEGURAMENTE iré a votar,-2,-2,0.0,0.0,0.0,-1.0,0.0,-1.0,Avanza Libertad: José Luis Espert,,Despertar: José Luis Espert,sem_2_(09/04-09/10),1
6365,6/9/2021 12:20,Buenos Aires,Resto de la provincia de Buenos Aires,Mujer,37,Secundario,El PRO,SEGURAMENTE iré a votar,-2,-2,-2.0,2.0,2.0,-1.0,0.0,2.0,Juntos: Facundo Manes,,Juntos por el Cambio: Mauricio Macri,sem_2_(09/04-09/10),1
6366,6/9/2021 12:18,Buenos Aires,Resto de la provincia de Buenos Aires,Mujer,55,Superior,El Kirchnerismo,SEGURAMENTE iré a votar,1,1,2.0,-2.0,-2.0,2.0,-1.0,-1.0,Frente de Todos: Victoria Tolosa Paz,,Frente de Todos: Alberto Fernández,sem_2_(09/04-09/10),1
6367,6/9/2021 12:15,Buenos Aires,Resto de la provincia de Buenos Aires,Hombre,62,Secundario,El PRO,SEGURAMENTE iré a votar,-2,-2,-2.0,1.0,2.0,-1.0,2.0,2.0,Juntos: Diego Santilli,,Juntos por el Cambio: Mauricio Macri,sem_2_(09/04-09/10),1
6368,6/9/2021 12:15,Buenos Aires,Resto de la provincia de Buenos Aires,Mujer,48,Superior,El peronismo,SEGURAMENTE iré a votar,2,2,2.0,-1.0,-2.0,2.0,-1.0,-1.0,Frente de Todos: Victoria Tolosa Paz,,Frente de Todos: Alberto Fernández,sem_2_(09/04-09/10),1
6369,6/9/2021 12:13,Buenos Aires,Resto de la provincia de Buenos Aires,Mujer,71,Superior,La Izquierda,SEGURAMENTE iré a votar,-2,-2,-2.0,1.0,2.0,-1.0,2.0,0.0,Juntos: Diego Santilli,,Juntos por el Cambio: Mauricio Macri,sem_2_(09/04-09/10),1
6370,6/9/2021 12:08,Buenos Aires,Resto de la provincia de Buenos Aires,Mujer,46,Primario incompleto,NINGUNO,SEGURAMENTE iré a votar,-2,-2,0.0,0.0,1.0,-1.0,0.0,2.0,Juntos: Diego Santilli,,Juntos por el Cambio: Mauricio Macri,sem_2_(09/04-09/10),1
6371,6/9/2021 12:05,Buenos Aires,Resto de la provincia de Buenos Aires,Mujer,59,Secundario,El peronismo,SEGURAMENTE iré a votar,1,1,0.0,0.0,0.0,0.0,-1.0,-1.0,0,,Frente de Todos: Alberto Fernández,sem_2_(09/04-09/10),1
6372,6/9/2021 12:02,Buenos Aires,Zona Norte conurbano,Hombre,49,Primario,El Kirchnerismo,SEGURAMENTE iré a votar,2,2,2.0,-2.0,-2.0,2.0,-1.0,-1.0,Frente de Todos: Victoria Tolosa Paz,,Frente de Todos: Alberto Fernández,sem_2_(09/04-09/10),1
6373,6/9/2021 12:01,Buenos Aires,Resto de la provincia de Buenos Aires,Hombre,73,Secundario,El Kirchnerismo,SEGURAMENTE iré a votar,2,2,2.0,1.0,-1.0,2.0,-1.0,-1.0,Frente de Todos: Victoria Tolosa Paz,,Frente de Todos: Alberto Fernández,sem_2_(09/04-09/10),1
6374,6/9/2021 11:59,Buenos Aires,Resto de la provincia de Buenos Aires,Mujer,57,Secundario,NINGUNO,SEGURAMENTE iré a votar,-2,-2,-2.0,1.0,1.0,-1.0,0.0,0.0,Juntos: Diego Santilli,,Juntos por el Cambio: Mauricio Macri,sem_2_(09/04-09/10),1
6375,6/9/2021 11:59,Buenos Aires,Zona Oeste conurbano,Mujer,50,Superior,El peronismo,SEGURAMENTE iré a votar,2,2,2.0,-2.0,-2.0,2.0,-1.0,-1.0,Frente de Todos: Victoria Tolosa Paz,,Frente de Todos: Alberto Fernández,sem_2_(09/04-09/10),1
6376,6/9/2021 11:58,Buenos Aires,Resto de la provincia de Buenos Aires,Hombre,78,Superior,El PRO,SEGURAMENTE iré a votar,-2,-2,-2.0,1.0,1.0,-1.0,2.0,0.0,Juntos: Diego Santilli,,Juntos por el Cambio: Mauricio Macri,sem_2_(09/04-09/10),1
6377,6/9/2021 11:56,Buenos Aires,Zona Oeste conurbano,Mujer,60,Secundario,El Kirchnerismo,SEGURAMENTE iré a votar,2,2,0.0,-2.0,-2.0,-1.0,-1.0,-1.0,0,,Frente de Todos: Alberto Fernández,sem_2_(09/04-09/10),1
6378,6/9/2021 11:54,Buenos Aires,Zona Oeste conurbano,Mujer,41,Superior,NINGUNO,NO ESTO SEGURO de ir a votar,1,2,0.0,0.0,0.0,0.0,0.0,0.0,Juntos: Facundo Manes,,Frente de Todos: Alberto Fernández,sem_2_(09/04-09/10),1
